,book_index,authors,original_title,image_url,average_rating,genre,tags
61,61,Philip Pullman,Northern Lights,https://images.gr-assets.com/books/1451271747l/119322.jpg,3.94,"fantasy, fiction","fantasy, fiction Philip Pullman Northern Lights"
62,62,"Emily Brontë, Richard J. Dunn",Wuthering Heights,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1587655304l/6185._SY475_.jpg,3.82,"classics, fiction","classics, fiction Emily Brontë, Richard J. Dunn Wuthering Heights"
63,63,Jodi Picoult,My Sister's Keeper,https://images.gr-assets.com/books/1369504683l/10917.jpg,4.06,"fiction, contemporary","fiction, contemporary Jodi Picoult My Sister's Keeper"
64,64,Kurt Vonnegut Jr.,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",https://images.gr-assets.com/books/1440319389l/4981.jpg,4.06,"classics, fiction","classics, fiction Kurt Vonnegut Jr. Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death "
65,65,Margaret Mitchell,Gone with the Wind,https://images.gr-assets.com/books/1328025229l/18405.jpg,4.28,"classics, fiction","classics, fiction Margaret Mitchell Gone with the Wind"
66,66,Khaled Hosseini,A Thousand Splendid Suns,https://images.gr-assets.com/books/1345958969l/128029.jpg,4.34,"fiction, contemporary","fiction, contemporary Khaled Hosseini A Thousand Splendid Suns"
67,67,Stephen Chbosky,The Perks of Being a Wallflower,https://images.gr-assets.com/books/1167352178l/22628.jpg,4.21,"fiction, contemporary","fiction, contemporary Stephen Chbosky The Perks of Being a Wallflower"
68,68,Veronica Roth,Insurgent,https://images.gr-assets.com/books/1325667729l/11735983.jpg,4.07,"fiction, fantasy","fiction, fantasy Veronica Roth Insurgent"
69,69,Orson Scott Card,Ender's Game,https://images.gr-assets.com/books/1408303130l/375802.jpg,4.3,"fiction, fantasy","fiction, fantasy Orson Scott Card Ender's Game"
70,70,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle","Frankenstein; or, The Modern Prometheus",https://images.gr-assets.com/books/1381512375l/18490.jpg,3.75,"classics, fiction","classics, fiction Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle Frankenstein; or, The Modern Prometheus"
71,71,Stephen King,The Shining,https://images.gr-assets.com/books/1353277730l/11588.jpg,4.17,"fiction, fantasy","fiction, fantasy Stephen King The Shining"
72,72,Stephenie Meyer,The Host,https://images.gr-assets.com/books/1318009171l/1656001.jpg,3.84,"fiction, paranormal","fiction, paranormal Stephenie Meyer The Host"
73,73,John Green,Looking for Alaska,https://images.gr-assets.com/books/1394798630l/99561.jpg,4.09,"fiction, contemporary","fiction, contemporary John Green Looking for Alaska"
74,74,"Jane Austen, Tony Tanner, Ros Ballaster",Sense and Sensibility,https://images.gr-assets.com/books/1397245675l/14935.jpg,4.06,"fiction, ebooks","fiction, ebooks Jane Austen, Tony Tanner, Ros Ballaster Sense and Sensibility"
75,75,"Louis Sachar, Louis Sachar",Holes,https://images.gr-assets.com/books/1327781893l/38709.jpg,3.93,"fiction, mystery","fiction, mystery Louis Sachar, Louis Sachar Holes"
76,76,Lauren Weisberger,The Devil Wears Prada,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388179604l/5139.jpg,3.7,"fiction, contemporary","fiction, contemporary Lauren Weisberger The Devil Wears Prada"
77,77,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",Ὀδύσσεια,https://images.gr-assets.com/books/1390173285l/1381.jpg,3.73,"classics, fiction","classics, fiction Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox Ὀδύσσεια"
78,78,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",Le Petit Prince,https://images.gr-assets.com/books/1367545443l/157993.jpg,4.28,"fantasy, philosophy","fantasy, philosophy Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta Le Petit Prince"
79,79,Jeannette Walls,The Glass Castle,https://images.gr-assets.com/books/1400930557l/7445.jpg,4.24,"memoir, nonfiction","memoir, nonfiction Jeannette Walls The Glass Castle"
80,80,Jon Krakauer,Into the Wild,https://images.gr-assets.com/books/1403173986l/1845.jpg,3.94,"nonfiction, biography","nonfiction, biography Jon Krakauer Into the Wild"
81,81,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",A Tale of Two Cities,https://images.gr-assets.com/books/1344922523l/1953.jpg,3.81,"classics, fiction","classics, fiction Charles Dickens, Richard Maxwell, Hablot Knight Browne A Tale of Two Cities"
82,82,Michael Crichton,Jurassic Park,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348796998l/7677.jpg,3.96,"fiction, thriller","fiction, thriller Michael Crichton Jurassic Park"
83,83,Shel Silverstein,The Giving Tree,https://images.gr-assets.com/books/1174210942l/370493.jpg,4.38,"classics, fiction","classics, fiction Shel Silverstein The Giving Tree"
84,84,John Grisham,A Time to Kill,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554303029l/32542.jpg,4.03,"fiction, mystery","fiction, mystery John Grisham A Time to Kill"
85,85,"Elie Wiesel, Marion Wiesel",Un di Velt Hot Geshvign,https://images.gr-assets.com/books/1473495285l/1617.jpg,4.3,"classics, history","classics, history Elie Wiesel, Marion Wiesel Un di Velt Hot Geshvign"
86,86,John Green,Paper Towns,https://images.gr-assets.com/books/1349013610l/6442769.jpg,3.88,"contemporary, fiction","contemporary, fiction John Green Paper Towns"
87,87,William Goldman,The Princess Bride,https://images.gr-assets.com/books/1327903636l/21787.jpg,4.25,"ebooks, contemporary","ebooks, contemporary William Goldman The Princess Bride"
88,88,S.E. Hinton,The Outsiders,https://images.gr-assets.com/books/1442129426l/231804.jpg,4.06,"fiction, classics","fiction, classics S.E. Hinton The Outsiders"
89,89,James Dashner,The Maze Runner,https://images.gr-assets.com/books/1375596592l/6186357.jpg,4.02,"fiction, fantasy","fiction, fantasy James Dashner The Maze Runner"
90,90,"Steven D. Levitt, Stephen J. Dubner",Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,https://images.gr-assets.com/books/1327909092l/1202.jpg,3.93,"nonfiction, science","nonfiction, science Steven D. Levitt, Stephen J. Dubner Freakonomics: A Rogue Economist Explores the Hidden Side of Everything"
91,91,Frances Hodgson Burnett,The Secret Garden,https://images.gr-assets.com/books/1327873635l/2998.jpg,4.12,"classics, fiction","classics, fiction Frances Hodgson Burnett The Secret Garden"
92,92,"Gabriel García Márquez, Gregory Rabassa",Cien años de soledad,https://images.gr-assets.com/books/1327881361l/320.jpg,4.04,"classics, fiction","classics, fiction Gabriel García Márquez, Gregory Rabassa Cien años de soledad"
93,93,"Oscar Wilde, Jeffrey Eugenides",The Picture of Dorian Gray,https://images.gr-assets.com/books/1424596966l/5297.jpg,4.06,"classics, fiction","classics, fiction Oscar Wilde, Jeffrey Eugenides The Picture of Dorian Gray"
94,94,E.L. James,Fifty Shades Freed,https://images.gr-assets.com/books/1336418837l/13536860.jpg,3.88,"fiction, contemporary","fiction, contemporary E.L. James Fifty Shades Freed"
95,95,"Bram Stoker, Nina Auerbach, David J. Skal",Dracula,https://images.gr-assets.com/books/1387151694l/17245.jpg,3.98,"classics, horror","classics, horror Bram Stoker, Nina Auerbach, David J. Skal Dracula"
96,96,"Stieg Larsson, Reg Keeland",Flickan som lekte med elden,https://images.gr-assets.com/books/1351778881l/5060378.jpg,4.22,"fiction, mystery","fiction, mystery Stieg Larsson, Reg Keeland Flickan som lekte med elden"
97,97,E.L. James,Fifty Shades Darker,https://images.gr-assets.com/books/1358266080l/11857408.jpg,3.87,"romance, fiction","romance, fiction E.L. James Fifty Shades Darker"
98,98,Barbara Kingsolver,The Poisonwood Bible,https://images.gr-assets.com/books/1412242487l/7244.jpg,4.02,"fiction, classics","fiction, classics Barbara Kingsolver The Poisonwood Bible"
99,99,David Sedaris,Me Talk Pretty One Day,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1431013639l/4137.jpg,3.97,"memoir, nonfiction","memoir, nonfiction David Sedaris Me Talk Pretty One Day"
100,100,Maurice Sendak,Where the Wild Things Are,https://images.gr-assets.com/books/1384434560l/19543.jpg,4.22,"fiction, classics","fiction, classics Maurice Sendak Where the Wild Things Are"
101,101,"Alexandre Dumas, Robin Buss",Le Comte de Monte-Cristo,https://images.gr-assets.com/books/1309203605l/7126.jpg,4.21,"classics, fiction","classics, fiction Alexandre Dumas, Robin Buss Le Comte de Monte-Cristo"
102,102,Cormac McCarthy,The Road,https://images.gr-assets.com/books/1439197219l/6288.jpg,3.95,"fiction, horror","fiction, horror Cormac McCarthy The Road"
103,103,Veronica Roth,Allegiant,https://images.gr-assets.com/books/1395582745l/18710190.jpg,3.63,"fiction, fantasy","fiction, fantasy Veronica Roth Allegiant"
104,104,Tina Fey,Bossypants,https://images.gr-assets.com/books/1481509554l/9418327.jpg,3.94,"memoir, nonfiction","memoir, nonfiction Tina Fey Bossypants"
105,105,Nicholas Sparks,A Walk to Remember,https://images.gr-assets.com/books/1385738968l/3473.jpg,4.15,"romance, fiction","romance, fiction Nicholas Sparks A Walk to Remember"
106,106,Sophie Kinsella,Confessions of a Shopaholic,https://images.gr-assets.com/books/1327872404l/9416.jpg,3.61,"fiction, romance","fiction, romance Sophie Kinsella Confessions of a Shopaholic"
107,107,"Victor Hugo, Lee Fahnestock, Norman MacAfee",Les Misérables,https://images.gr-assets.com/books/1411852091l/24280.jpg,4.14,"classics, fiction","classics, fiction Victor Hugo, Lee Fahnestock, Norman MacAfee Les Misérables"
108,108,George R.R. Martin,A Clash of Kings,https://images.gr-assets.com/books/1358254974l/10572.jpg,4.4,"fantasy, fiction","fantasy, fiction George R.R. Martin A Clash of Kings"
109,109,Kim Edwards,The Memory Keeper's Daughter,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1552112312l/10441._SY475_.jpg,3.64,"fiction, contemporary","fiction, contemporary Kim Edwards The Memory Keeper's Daughter"
110,110,Jojo Moyes,Me Before You,https://images.gr-assets.com/books/1357108762l/15507958.jpg,4.27,"romance, fiction","romance, fiction Jojo Moyes Me Before You"
111,111,Joseph Heller,Catch-22,https://images.gr-assets.com/books/1463157317l/168668.jpg,3.98,"classics, fiction","classics, fiction Joseph Heller Catch-22"
112,112,"Mitch Albom, Saulius Dagys",Tuesdays with Morrie,https://images.gr-assets.com/books/1423763749l/6900.jpg,4.06,"fiction, nonfiction","fiction, nonfiction Mitch Albom, Saulius Dagys Tuesdays with Morrie"
113,113,Jeffrey Eugenides,Middlesex,https://images.gr-assets.com/books/1437029776l/2187.jpg,3.98,"fiction, contemporary","fiction, contemporary Jeffrey Eugenides Middlesex"
114,114,"Mark Twain, Guy Cardwell, John Seelye",The Adventures of Tom Sawyer,https://images.gr-assets.com/books/1404811979l/24583.jpg,3.89,"classics, fiction","classics, fiction Mark Twain, Guy Cardwell, John Seelye The Adventures of Tom Sawyer"
115,115,Madeleine L'Engle,A Wrinkle in Time,https://images.gr-assets.com/books/1329061522l/18131.jpg,4.04,"fantasy, fiction","fantasy, fiction Madeleine L'Engle A Wrinkle in Time"
116,116,Amy Tan,The Joy Luck Club,https://images.gr-assets.com/books/1304978653l/7763.jpg,3.9,"classics, fiction","classics, fiction Amy Tan The Joy Luck Club"
117,117,Margaret Atwood,The Handmaid's Tale,https://images.gr-assets.com/books/1498057733l/38447.jpg,4.06,"fiction, classics","fiction, classics Margaret Atwood The Handmaid's Tale"
118,118,Ann Brashares,The Sisterhood of the Traveling Pants,https://images.gr-assets.com/books/1461611233l/452306.jpg,3.75,"fiction, contemporary","fiction, contemporary Ann Brashares The Sisterhood of the Traveling Pants"
119,119,"Vladimir Nabokov, Craig Raine",Lolita,https://images.gr-assets.com/books/1377756377l/7604.jpg,3.88,"fiction, classics","fiction, classics Vladimir Nabokov, Craig Raine Lolita"
120,120,"Gregory Maguire, Douglas Smith",Wicked: The Life and Times of the Wicked Witch of the West,https://images.gr-assets.com/books/1437733293l/37442.jpg,3.52,"fantasy, classics","fantasy, classics Gregory Maguire, Douglas Smith Wicked: The Life and Times of the Wicked Witch of the West"
121,121,John Grisham,The Firm,https://images.gr-assets.com/books/1418465200l/5358.jpg,3.99,"fiction, thriller","fiction, thriller John Grisham The Firm"
122,122,Emma Donoghue,Room,https://images.gr-assets.com/books/1344265419l/7937843.jpg,4.03,"fiction, contemporary","fiction, contemporary Emma Donoghue Room"
123,123,"William Shakespeare, Richard Andrews, Rex Gibson","The Tragicall Historie of Hamlet, Prince of Denmark",https://images.gr-assets.com/books/1351051208l/1420.jpg,4.0,"classics, fiction","classics, fiction William Shakespeare, Richard Andrews, Rex Gibson The Tragicall Historie of Hamlet, Prince of Denmark"
124,124,Frank Herbert,Dune,https://images.gr-assets.com/books/1434908555l/234225.jpg,4.19,"fiction, fantasy","fiction, fantasy Frank Herbert Dune"
125,125,Malcolm Gladwell,The Tipping Point: How Little Things Can Make a Big Difference,https://images.gr-assets.com/books/1473396980l/2612.jpg,3.92,"nonfiction, business","nonfiction, business Malcolm Gladwell The Tipping Point: How Little Things Can Make a Big Difference"
126,126,Walter Isaacson,Steve Jobs,https://images.gr-assets.com/books/1327861368l/11084145.jpg,4.09,"biography, business","biography, business Walter Isaacson Steve Jobs"
127,127,Ken Kesey,One Flew Over the Cuckoo's Nest,https://images.gr-assets.com/books/1485308778l/332613.jpg,4.18,"classics, fiction","classics, fiction Ken Kesey One Flew Over the Cuckoo's Nest"
128,128,Ernest Hemingway,The Old Man and the Sea,https://images.gr-assets.com/books/1329189714l/2165.jpg,3.73,"classics, fiction","classics, fiction Ernest Hemingway The Old Man and the Sea"
129,129,John Steinbeck,The Grapes of Wrath,https://images.gr-assets.com/books/1352912927l/4395.jpg,3.92,"classics, fiction","classics, fiction John Steinbeck The Grapes of Wrath"
130,130,Mitch Albom,The Five People You Meet in Heaven,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388200541l/3431.jpg,3.9,"fiction, christian","fiction, christian Mitch Albom The Five People You Meet in Heaven"
131,131,L.M. Montgomery,Anne of Green Gables,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390789015l/8127.jpg,4.23,"fiction, romance","fiction, romance L.M. Montgomery Anne of Green Gables"
132,132,Cassandra Clare,City of Glass,https://images.gr-assets.com/books/1369452339l/3777732.jpg,4.34,"fantasy, paranormal","fantasy, paranormal Cassandra Clare City of Glass"
133,133,George R.R. Martin,A Storm of Swords,https://images.gr-assets.com/books/1497931121l/62291.jpg,4.54,"fantasy, fiction","fantasy, fiction George R.R. Martin A Storm of Swords"
134,134,Rebecca Wells,Divine Secrets of the Ya-Ya Sisterhood,https://images.gr-assets.com/books/1408313524l/137791.jpg,3.79,"fiction, contemporary","fiction, contemporary Rebecca Wells Divine Secrets of the Ya-Ya Sisterhood"
135,135,Diana Gabaldon,Outlander,https://images.gr-assets.com/books/1402600310l/10964.jpg,4.2,"romance, fantasy","romance, fantasy Diana Gabaldon Outlander"
136,136,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",The Scarlet Letter,https://images.gr-assets.com/books/1404810944l/12296.jpg,3.37,"romance, history","romance, history Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym The Scarlet Letter"
137,137,Ransom Riggs,Miss Peregrine’s Home for Peculiar Children,https://images.gr-assets.com/books/1472782916l/9460487.jpg,3.89,"fantasy, fiction","fantasy, fiction Ransom Riggs Miss Peregrine’s Home for Peculiar Children"
138,138,"Stieg Larsson, Reg Keeland",Luftslottet som sprängdes,https://images.gr-assets.com/books/1327708260l/6892870.jpg,4.2,"fiction, mystery","fiction, mystery Stieg Larsson, Reg Keeland Luftslottet som sprängdes"
